
Sysinternals Autoruns v14.3 - Autostart program viewer
Copyright © 2002-2026 Mark Russinovich
Sysinternals - www.sysinternals.com

Time,Entry Location,Entry,Enabled,Category,Profile,Description,Company,Image Path,Version,Launch String
07/12/2019 09:15:08,HKLM\System\CurrentControlSet\Control\Terminal Server\Wds\rdpwd\StartupPrograms,,,Logon,System-wide,,,,,
25/07/2026 02:02:28,HKLM\System\CurrentControlSet\Control\Terminal Server\Wds\rdpwd\StartupPrograms,rdpclip,enabled,Logon,System-wide,RDP Clipboard Monitor,Microsoft Corporation,C:\Windows\system32\rdpclip.exe,10.0.19041.5965,rdpclip
25/07/2026 01:50:26,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,,,Logon,System-wide,,,,,
25/07/2026 02:01:12,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,SecurityHealth,enabled,Logon,System-wide,Windows Security notification icon,Microsoft Corporation,C:\Windows\system32\SecurityHealthSystray.exe,10.0.19041.4355,%windir%\system32\SecurityHealthSystray.exe
26/07/2026 17:34:25,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\Shell,,,Logon,System-wide,,,,,
25/07/2026 02:00:30,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\Shell,explorer.exe,enabled,Logon,System-wide,Windows Explorer,Microsoft Corporation,C:\Windows\explorer.exe,10.0.19041.6456,explorer.exe
07/12/2019 09:15:08,HKLM\SYSTEM\CurrentControlSet\Control\SafeBoot\AlternateShell,,,Logon,System-wide,,,,,
25/07/2026 02:01:08,HKLM\SYSTEM\CurrentControlSet\Control\SafeBoot\AlternateShell,cmd.exe,enabled,Logon,System-wide,Windows Command Processor,Microsoft Corporation,C:\Windows\system32\cmd.exe,10.0.19041.4355,cmd.exe
26/07/2026 17:34:25,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\UserInit,,,Logon,System-wide,,,,,
25/07/2026 02:01:21,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\UserInit,C:\Windows\system32\userinit.exe,enabled,Logon,System-wide,Userinit Logon Application,Microsoft Corporation,C:\Windows\system32\userinit.exe,10.0.19041.4355,C:\Windows\system32\userinit.exe
26/07/2026 17:34:25,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VmApplet,,,Logon,System-wide,,,,,
07/12/2019 09:09:00,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VmApplet,SystemPropertiesPerformance.exe /pagefile,enabled,Logon,System-wide,Change Computer Performance Settings,Microsoft Corporation,C:\Windows\system32\SystemPropertiesPerformance.exe,10.0.19041.1,SystemPropertiesPerformance.exe /pagefile
25/07/2026 16:44:27,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,,,Logon,System-wide,,,,,
01/08/2026 01:50:34,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,Microsoft Edge,enabled,Logon,System-wide,Microsoft Edge Installer,Microsoft Corporation,C:\Program Files (x86)\Microsoft\Edge\Application\151.0.4129.59\Installer\setup.exe,151.0.4129.59,"""C:\Program Files (x86)\Microsoft\Edge\Application\151.0.4129.59\Installer\setup.exe"" --configure-user-settings --verbose-logging --system-level --msedge --channel=stable"
06/12/2019 21:28:00,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,Microsoft Windows Media Player,enabled,Logon,System-wide,Microsoft Windows Media Player Setup Utility,Microsoft Corporation,C:\Windows\system32\unregmp2.exe,12.0.19041.1,C:\Windows\system32\unregmp2.exe /ShowWMP
