Time,Entry Location,Entry,Enabled,Category,Profile,Description,Company,Image Path,Version,Launch String
12/09/2016 12:34:35,HKLM\System\CurrentControlSet\Control\Terminal Server\Wds\rdpwd\StartupPrograms,,,Logon,System-wide,,,,,
16/07/2016 14:18:20,HKLM\System\CurrentControlSet\Control\Terminal Server\Wds\rdpwd\StartupPrograms,rdpclip,enabled,Logon,System-wide,RDP Clipboard Monitor,Microsoft Corporation,C:\Windows\system32\rdpclip.exe,10.0.14393.0,rdpclip
25/07/2026 00:09:12,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\Shell,,,Logon,System-wide,,,,,
16/07/2016 14:18:56,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\Shell,explorer.exe,enabled,Logon,System-wide,Windows Explorer,Microsoft Corporation,C:\Windows\explorer.exe,10.0.14393.0,explorer.exe
25/07/2026 00:02:58,HKLM\SYSTEM\CurrentControlSet\Control\SafeBoot\AlternateShell,,,Logon,System-wide,,,,,
16/07/2016 14:18:48,HKLM\SYSTEM\CurrentControlSet\Control\SafeBoot\AlternateShell,cmd.exe,enabled,Logon,System-wide,Windows Command Processor,Microsoft Corporation,C:\Windows\system32\cmd.exe,10.0.14393.0,cmd.exe
25/07/2026 00:09:12,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\UserInit,,,Logon,System-wide,,,,,
16/07/2016 14:18:42,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\UserInit,C:\Windows\system32\userinit.exe,enabled,Logon,System-wide,Userinit Logon Application,Microsoft Corporation,C:\Windows\system32\userinit.exe,10.0.14393.0,C:\Windows\system32\userinit.exe
25/07/2026 00:09:12,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VmApplet,,,Logon,System-wide,,,,,
16/07/2016 14:18:47,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\VmApplet,SystemPropertiesPerformance.exe /pagefile,enabled,Logon,System-wide,Change Computer Performance Settings,Microsoft Corporation,C:\Windows\system32\SystemPropertiesPerformance.exe,10.0.14393.0,SystemPropertiesPerformance.exe /pagefile
16/07/2016 14:24:09,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\AlternateShells\AvailableShells,,,Logon,System-wide,,,,,
16/07/2016 14:18:48,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\AlternateShells\AvailableShells,30000,enabled,Logon,System-wide,Windows Command Processor,Microsoft Corporation,C:\Windows\system32\cmd.exe,10.0.14393.0,"cmd.exe /c ""cd /d ""%USERPROFILE%"" & start cmd.exe /k runonce.exe /AlternateShellStartup"""
16/07/2016 14:18:56,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\AlternateShells\AvailableShells,60000,enabled,Logon,System-wide,Windows Explorer,Microsoft Corporation,C:\Windows\explorer.exe,10.0.14393.0,explorer.exe
16/07/2016 14:24:12,HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components,,,Logon,System-wide,,,,,
